"site","session","start_date","end_date","Easting","Northing"
"Cell 1",1,2014-03-10,2014-06-12,361841,5905356
"Cell 1",2,2015-12-11,2016-04-05,361841,5905356
"Cell 10",1,2014-04-07,2014-06-09,362513,5940241
"Cell 10",2,2016-01-22,2016-04-10,362513,5940241
"Cell 12",1,2013-11-29,2014-06-11,363289,5905631
"Cell 12",2,2015-12-27,2016-03-23,363289,5905631
"Cell 13",1,2013-11-29,2014-06-12,363911,5908657
"Cell 13",2,2015-12-15,2016-03-31,363911,5908657
"Cell 14",1,2014-01-11,2014-06-09,362883,5910311
"Cell 14",2,2015-12-16,2016-03-29,362883,5910311
"Cell 15",1,2014-01-18,2014-06-05,366047,5914807
"Cell 15",2,2015-12-09,2016-04-10,366047,5914807
"Cell 16",1,2014-03-14,2014-06-10,365208,5919336
"Cell 16",2,2015-12-15,2016-04-08,365208,5919336
"Cell 17",1,2014-03-14,2014-06-11,365616,5924531
"Cell 17",2,2015-12-15,2016-04-09,365616,5924531
"Cell 18",1,2014-02-11,2014-06-11,365677,5928447
"Cell 18",2,2015-12-16,2016-04-10,365760,5928698
"Cell 19",1,2014-03-14,2014-06-11,367297,5931483
"Cell 19",2,2015-12-15,2016-03-10,367297,5931483
"Cell 2",1,2013-12-02,2014-06-12,362095,5908526
"Cell 2",2,2015-12-13,2016-04-02,362095,5908526
"Cell 20",1,2013-12-20,2014-06-11,367115,5934288
"Cell 20",2,2015-12-15,2016-04-10,367115,5934288
"Cell 22",1,2014-04-06,2014-06-12,368148,5898685
"Cell 22",2,2015-12-11,2016-04-05,368148,5898685
"Cell 23",1,2013-12-18,2014-06-12,369053,5902980
"Cell 23",2,2015-12-22,2016-03-26,369053,5902980
"Cell 24",1,2013-11-27,2014-06-12,366859,5907860
"Cell 24",2,2015-12-14,2016-03-29,366859,5907860
"Cell 25",1,2014-03-14,2014-05-17,370521,5909413
"Cell 25",2,2015-12-09,2016-04-11,370521,5909413
"Cell 26",1,2014-03-11,2014-07-05,369026,5914726
"Cell 26",2,2015-12-10,2016-04-11,369026,5914726
"Cell 27",1,2014-03-14,2014-06-11,367961,5920705
"Cell 27",2,2015-12-14,2016-04-11,367961,5920705
"Cell 28",1,2014-03-12,2014-06-13,370286,5922440
"Cell 28",2,2015-12-16,2016-04-11,370286,5922440
"Cell 29",1,2013-12-06,2014-06-13,368804,5927690
"Cell 29",2,2015-12-15,2016-04-01,368804,5927690
"Cell 3",1,2014-02-26,2014-06-11,360847,5910861
"Cell 3",2,2015-12-14,2016-04-02,360847,5910861
"Cell 30",1,2013-11-30,2014-06-13,369426,5931879
"Cell 30",2,2015-12-16,2016-04-10,369426,5931879
"Cell 31",1,2013-12-04,2014-04-22,370813,5936493
"Cell 31",2,2015-12-06,2016-04-09,370813,5936493
"Cell 32",1,2013-12-03,2014-06-08,370903,5938042
"Cell 32",2,2015-12-07,2016-04-10,370903,5938042
"Cell 33",1,2013-11-29,2014-06-07,372531,5900276
"Cell 33",2,2015-12-12,2016-04-05,372531,5900276
"Cell 34",1,2014-03-08,2014-06-16,373735,5904984
"Cell 34",2,2016-01-13,2016-04-11,373735,5904984
"Cell 35",1,2013-11-29,2014-06-16,373874,5908221
"Cell 35",2,2015-12-30,2016-04-11,373874,5908221
"Cell 36",1,2013-12-04,2014-06-16,371578,5911081
"Cell 36",2,2015-12-11,2016-04-02,371578,5911081
"Cell 37",1,2014-04-09,2014-06-13,371541,5913761
"Cell 37",2,2015-12-10,2016-04-09,371541,5913761
"Cell 38",1,2014-02-15,2014-06-13,373511,5917067
"Cell 38",2,2015-12-19,2016-04-11,373511,5917067
"Cell 39",1,2013-12-05,2014-06-13,373569,5921283
"Cell 39",2,2015-12-13,2016-04-01,373569,5921283
"Cell 4",1,2014-03-14,2014-06-11,361961,5917502
"Cell 4",2,2015-12-13,2016-03-31,361961,5917502
"Cell 40",1,2013-12-13,2014-05-20,373730,5927892
"Cell 40",2,2015-12-16,2016-04-08,373730,5927892
"Cell 41",1,2013-12-04,2014-05-27,374030,5931098
"Cell 41",2,2015-12-14,2016-04-08,374030,5931098
"Cell 42",1,2014-02-19,2014-06-06,373986,5936412
"Cell 42",2,2015-12-17,2016-04-10,373986,5936412
"Cell 43",1,2013-12-01,2014-05-11,373620,5937347
"Cell 43",2,2015-12-08,2016-04-10,373620,5937347
"Cell 44",1,2014-01-11,2014-06-12,374561,5899985
"Cell 44",2,2015-12-12,2016-04-02,374561,5899985
"Cell 45",1,2014-01-09,2014-06-16,376382,5902538
"Cell 45",2,2015-12-10,2016-04-06,376382,5902538
"Cell 46",1,2014-05-05,2014-06-16,376254,5905427
"Cell 46",2,2015-12-09,2016-03-30,376254,5905427
"Cell 47",1,2014-01-12,2014-06-16,376308,5911240
"Cell 47",2,2015-12-15,2016-04-07,376308,5911240
"Cell 48",1,2014-05-09,2014-06-13,376713,5914627
"Cell 48",2,2015-12-17,2016-04-07,376713,5914627
"Cell 49",1,2013-11-30,2014-06-13,377116,5917886
"Cell 49",2,2015-12-18,2016-04-04,377116,5917886
"Cell 5",1,2013-11-27,2014-06-07,359014,5918599
"Cell 5",2,2015-12-15,2016-04-04,359014,5918599
"Cell 50",1,2014-01-18,2014-06-13,377043,5921548
"Cell 50",2,2015-12-25,2016-04-01,377043,5921548
"Cell 51",1,2013-12-16,2014-06-17,378399,5926437
"Cell 51",2,2015-12-17,2016-04-08,378399,5926437
"Cell 52",1,2013-12-04,2014-06-17,377400,5930460
"Cell 52",2,2015-12-14,2016-03-29,377400,5930460
"Cell 53",1,2014-03-13,2014-06-07,378500,5936590
"Cell 53",2,2015-12-08,2016-03-24,378500,5936590
"Cell 54",1,2013-11-30,2014-06-03,378388,5938334
"Cell 54",2,2015-12-21,2016-04-10,378388,5938334
"Cell 55",1,2013-11-29,2014-06-10,379044,5898362
"Cell 55",2,2015-12-10,2016-04-07,379044,5898362
"Cell 56",1,2014-01-19,2014-06-12,379862,5901588
"Cell 56",2,2015-12-12,2016-04-07,379862,5901588
"Cell 57",1,2014-04-08,2014-06-16,381598,5907854
"Cell 57",2,2015-12-10,2016-04-07,381598,5907854
"Cell 58",1,2014-03-13,2014-06-16,379376,5909670
"Cell 58",2,2015-12-11,2016-04-07,379376,5909670
"Cell 59",1,2014-04-17,2014-06-13,378962,5914518
"Cell 59",2,2015-12-10,2016-03-27,378962,5914518
"Cell 6",1,2013-11-30,2014-06-11,360539,5924006
"Cell 6",2,2015-12-14,2016-04-03,360539,5924006
"Cell 60",1,2014-02-12,2014-06-13,381641,5918210
"Cell 60",2,2015-12-23,2016-04-05,381641,5918210
"Cell 61",1,2014-01-18,2014-06-13,382719,5923624
"Cell 61",2,2015-12-14,2016-03-31,382719,5923624
"Cell 62",1,2013-12-10,2014-06-17,381461,5927167
"Cell 62",2,2015-12-14,2016-04-07,381461,5927167
"Cell 63",1,2013-12-07,2014-03-12,382295,5931445
"Cell 63",2,2015-12-15,2016-04-08,382295,5931445
"Cell 64",1,2013-12-09,2014-05-11,382160,5933748
"Cell 64",2,2015-12-07,2016-03-13,382160,5933748
"Cell 65",1,2014-01-13,2014-06-08,380614,5940409
"Cell 65",2,2015-12-07,2016-03-05,380623,5940454
"Cell 66",1,2014-02-24,2014-06-16,384876,5933608
"Cell 66",2,2015-12-11,2016-03-09,384876,5933608
"Cell 7",1,2013-12-31,2014-06-11,360301,5927921
"Cell 7",2,2015-12-15,2016-04-06,360301,5927921
"Cell 8",1,2013-11-29,2014-06-11,362545,5931056
"Cell 8",2,2015-12-19,2016-04-10,362545,5931056
"Cell 9",1,2014-03-14,2014-06-11,363135,5934511
"Cell 9",2,2015-12-13,2016-03-10,363135,5934511
